No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,Cluster
1,2013,3,1,0,8.0,8.0,6.0,28.0,400.0,52.0,-0.7,1023.0,-18.8,-2.7833494904750284e-17,NNW,4.4,Wanliu,1
2,2013,3,1,1,9.0,9.0,6.0,28.0,400.0,50.0,-1.1,1023.2,-18.2,-2.7833494904750284e-17,N,4.7,Wanliu,1
6,2013,3,1,5,3.0,6.0,8.0,17.0,300.0,54.0,-2.2,1025.6,-19.6,-2.7833494904750284e-17,N,3.7,Wanliu,1
7,2013,3,1,6,3.0,3.0,10.0,21.0,300.0,52.0,-2.6,1026.5,-19.1,-2.7833494904750284e-17,NNE,2.5,Wanliu,1
8,2013,3,1,7,3.0,6.0,11.0,26.0,300.0,47.0,-1.6,1027.4,-19.1,-2.7833494904750284e-17,NNW,3.8,Wanliu,1
9,2013,3,1,8,7.0,10.0,14.0,39.0,400.0,36.0,0.1,1028.3,-19.2,-2.7833494904750284e-17,NNW,4.1,Wanliu,1
10,2013,3,1,9,3.0,9.0,12.0,31.0,400.0,46.0,1.2,1028.5,-19.3,-2.7833494904750284e-17,N,2.6,Wanliu,1
11,2013,3,1,10,3.0,8.0,12.0,30.0,400.0,49.0,1.9,1028.2,-19.4,-2.7833494904750284e-17,NNW,3.6,Wanliu,1
12,2013,3,1,11,3.0,6.0,10.0,26.0,300.0,54.0,2.9,1028.2,-20.5,-2.7833494904750284e-17,N,3.7,Wanliu,1
13,2013,3,1,12,6.0,9.0,11.0,22.0,300.0,57.0,3.9,1027.3,-19.7,-2.7833494904750284e-17,NNW,5.1,Wanliu,1
14,2013,3,1,13,10.0,18.0,10.0,20.0,300.0,60.0,5.3,1026.2,-19.3,-2.7833494904750284e-17,NW,4.3,Wanliu,1
15,2013,3,1,14,10.0,15.0,10.0,22.0,300.0,60.0,6.0,1025.9,-19.6,-2.7833494904750284e-17,NW,4.4,Wanliu,1
16,2013,3,1,15,7.0,15.0,9.0,22.0,300.0,61.0,6.2,1025.7,-18.6,-2.7833494904750284e-17,NNE,2.8,Wanliu,1
17,2013,3,1,16,12.0,22.0,10.0,25.0,300.0,59.0,5.9,1025.6,-18.1,-2.7833494904750284e-17,NNW,3.9,Wanliu,1
18,2013,3,1,17,13.0,23.0,10.0,26.0,300.0,58.0,4.3,1026.3,-18.7,-2.7833494904750284e-17,NNE,2.8,Wanliu,1
19,2013,3,1,18,11.0,25.0,12.0,32.0,400.0,49.0,3.1,1027.4,-18.4,-2.7833494904750284e-17,NNE,2.1,Wanliu,1
20,2013,3,1,19,11.0,17.0,13.0,53.0,600.0,30.0,2.3,1028.3,-18.4,-2.7833494904750284e-17,N,2.8,Wanliu,1
21,2013,3,1,20,9.0,19.0,14.0,55.0,500.0,28.0,1.7,1029.1,-17.3,-2.7833494904750284e-17,N,2.1,Wanliu,1
22,2013,3,1,21,14.0,17.0,16.0,57.0,600.0,25.0,0.6,1030.1,-16.7,-2.7833494904750284e-17,ENE,0.8,Wanliu,1
23,2013,3,1,22,15.0,20.0,17.0,71.0,700.0,8.0,0.9,1030.5,-17.4,-2.7833494904750284e-17,ENE,1.8,Wanliu,1
24,2013,3,1,23,15.0,29.0,30.0,62.0,600.0,22.0,-0.2,1030.5,-17.4,-2.7833494904750284e-17,ENE,1.4,Wanliu,1
25,2013,3,2,0,15.0,2.0,20.0,61.0,600.0,24.0,-0.4,1031.0,-17.6,-2.7833494904750284e-17,ENE,1.4,Wanliu,1
26,2013,3,2,1,4.0,12.0,16.0,52.0,500.0,34.0,-1.0,1031.3,-17.3,-2.7833494904750284e-17,NNE,1.1,Wanliu,1
27,2013,3,2,2,12.0,12.0,16.0,52.0,400.0,32.0,-1.5,1030.9,-16.9,-2.7833494904750284e-17,E,1.7,Wanliu,1
28,2013,3,2,3,3.0,9.0,16.0,53.0,400.0,30.0,-1.4,1030.6,-17.6,-2.7833494904750284e-17,NNE,1.4,Wanliu,1
29,2013,3,2,4,3.0,6.0,12.0,53.0,400.0,31.0,-1.5,1030.8,-17.7,-2.7833494904750284e-17,NNW,0.9,Wanliu,1
30,2013,3,2,5,3.0,6.0,26.0,66.0,500.0,15.0,-1.8,1030.1,-17.5,-2.7833494904750284e-17,NNE,2.0,Wanliu,1
31,2013,3,2,6,4.0,12.0,26.0,71.0,600.0,8.0,-2.5,1029.6,-17.7,-2.7833494904750284e-17,NW,0.7,Wanliu,1
32,2013,3,2,7,3.0,14.0,46.0,72.0,600.0,10.0,-1.7,1029.8,-17.0,-2.7833494904750284e-17,NE,1.2,Wanliu,1
33,2013,3,2,8,3.0,6.0,40.0,68.0,600.0,15.0,-0.4,1029.6,-17.6,-2.7833494904750284e-17,NE,1.8,Wanliu,1
34,2013,3,2,9,3.0,12.0,28.0,66.0,600.0,19.0,0.6,1029.7,-16.7,-2.7833494904750284e-17,NE,1.7,Wanliu,1
35,2013,3,2,10,3.0,10.0,31.0,72.0,600.0,14.0,1.7,1028.9,-16.3,-2.7833494904750284e-17,W,1.6,Wanliu,1
36,2013,3,2,11,6.0,13.0,23.0,74.0,700.0,12.0,2.2,1028.2,-16.8,-2.7833494904750284e-17,SSW,3.1,Wanliu,1
37,2013,3,2,12,16.0,18.0,24.0,73.0,800.0,17.0,2.7,1027.3,-16.4,-2.7833494904750284e-17,WSW,2.7,Wanliu,1
38,2013,3,2,13,19.0,27.0,28.0,68.0,700.0,25.0,3.3,1025.7,-16.4,-2.7833494904750284e-17,W,1.5,Wanliu,1
39,2013,3,2,14,32.0,36.0,23.0,63.0,700.0,31.0,3.8,1024.8,-16.0,-2.7833494904750284e-17,SE,1.3,Wanliu,1
40,2013,3,2,15,31.0,37.0,24.0,65.0,800.0,33.0,3.9,1024.1,-16.5,-2.7833494904750284e-17,WNW,1.2,Wanliu,1
41,2013,3,2,16,34.0,42.0,32.0,73.0,1100.0,27.0,3.5,1023.6,-15.2,-2.7833494904750284e-17,WSW,2.5,Wanliu,1
42,2013,3,2,17,47.0,70.0,41.0,80.0,1100.0,21.0,2.2,1023.4,-13.6,-2.7833494904750284e-17,SSE,0.4,Wanliu,1
43,2013,3,2,18,58.0,83.0,49.0,85.0,1100.0,15.0,1.2,1023.2,-12.3,-2.7833494904750284e-17,W,0.9,Wanliu,1
44,2013,3,2,19,65.0,94.0,51.0,94.0,1200.0,3.0,1.5,1022.9,-13.8,-2.7833494904750284e-17,NE,1.2,Wanliu,1
45,2013,3,2,20,78.0,108.0,55.0,101.0,1500.0,2.0,1.2,1022.9,-14.1,-2.7833494904750284e-17,NNE,1.2,Wanliu,0
46,2013,3,2,21,84.0,122.0,68.0,103.0,2200.0,2.0,0.6,1022.6,-14.2,-2.7833494904750284e-17,NE,1.3,Wanliu,0
